🚀 Starting run: trainsample_3404_run_10
Epoch 1 | Train Loss: 1.2107 | Val Loss: 0.4643 | Val Acc: 82.61% | Sens: 0.92 | Spec: 0.66 | AUC: 0.82
Epoch 2 | Train Loss: 0.4511 | Val Loss: 0.4353 | Val Acc: 82.49% | Sens: 0.87 | Spec: 0.74 | AUC: 0.85
Epoch 3 | Train Loss: 0.3865 | Val Loss: 0.3856 | Val Acc: 85.31% | Sens: 0.94 | Spec: 0.71 | AUC: 0.89
Epoch 4 | Train Loss: 0.3330 | Val Loss: 0.3041 | Val Acc: 87.66% | Sens: 0.95 | Spec: 0.75 | AUC: 0.95
Epoch 5 | Train Loss: 0.2626 | Val Loss: 0.2497 | Val Acc: 92.01% | Sens: 0.90 | Spec: 0.95 | AUC: 0.97
Epoch 6 | Train Loss: 0.2327 | Val Loss: 0.2129 | Val Acc: 93.07% | Sens: 0.94 | Spec: 0.91 | AUC: 0.97
Epoch 7 | Train Loss: 0.2229 | Val Loss: 0.1961 | Val Acc: 92.83% | Sens: 0.93 | Spec: 0.92 | AUC: 0.97
Epoch 8 | Train Loss: 0.1755 | Val Loss: 0.1947 | Val Acc: 93.42% | Sens: 0.92 | Spec: 0.96 | AUC: 0.98
Epoch 9 | Train Loss: 0.1774 | Val Loss: 0.2140 | Val Acc: 92.13% | Sens: 0.98 | Spec: 0.83 | AUC: 0.98
Epoch 10 | Train Loss: 0.1653 | Val Loss: 0.1692 | Val Acc: 93.18% | Sens: 0.94 | Spec: 0.91 | AUC: 0.98
Epoch 11 | Train Loss: 0.1527 | Val Loss: 0.1575 | Val Acc: 93.89% | Sens: 0.94 | Spec: 0.93 | AUC: 0.98
Epoch 12 | Train Loss: 0.1500 | Val Loss: 0.1755 | Val Acc: 93.18% | Sens: 0.96 | Spec: 0.88 | AUC: 0.98
Epoch 13 | Train Loss: 0.1535 | Val Loss: 0.1509 | Val Acc: 93.89% | Sens: 0.94 | Spec: 0.93 | AUC: 0.98
Epoch 14 | Train Loss: 0.1369 | Val Loss: 0.1744 | Val Acc: 93.65% | Sens: 0.97 | Spec: 0.87 | AUC: 0.98
Epoch 15 | Train Loss: 0.1372 | Val Loss: 0.1297 | Val Acc: 94.95% | Sens: 0.96 | Spec: 0.93 | AUC: 0.99
Epoch 16 | Train Loss: 0.1259 | Val Loss: 0.1362 | Val Acc: 95.30% | Sens: 0.95 | Spec: 0.96 | AUC: 0.99
Epoch 17 | Train Loss: 0.1202 | Val Loss: 0.1446 | Val Acc: 95.06% | Sens: 0.94 | Spec: 0.97 | AUC: 0.99
Epoch 18 | Train Loss: 0.1288 | Val Loss: 0.1243 | Val Acc: 95.77% | Sens: 0.97 | Spec: 0.94 | AUC: 0.99
Epoch 19 | Train Loss: 0.1237 | Val Loss: 0.1499 | Val Acc: 93.77% | Sens: 0.94 | Spec: 0.93 | AUC: 0.99
Epoch 20 | Train Loss: 0.1174 | Val Loss: 0.1455 | Val Acc: 93.42% | Sens: 0.94 | Spec: 0.92 | AUC: 0.99
Epoch 21 | Train Loss: 0.1079 | Val Loss: 0.1211 | Val Acc: 95.53% | Sens: 0.96 | Spec: 0.94 | AUC: 0.99
Epoch 22 | Train Loss: 0.1090 | Val Loss: 0.1273 | Val Acc: 95.42% | Sens: 0.95 | Spec: 0.96 | AUC: 0.99
Epoch 23 | Train Loss: 0.1067 | Val Loss: 0.1170 | Val Acc: 96.36% | Sens: 0.97 | Spec: 0.96 | AUC: 0.99
Epoch 24 | Train Loss: 0.1123 | Val Loss: 0.1125 | Val Acc: 95.65% | Sens: 0.96 | Spec: 0.95 | AUC: 0.99
