🚀 Starting run: trainpercent_1_run_1
📊 Trainingsdaten: 3404 von 3404 (100.0%)
Epoch 1 | Train Loss: 1.2105 | Val Loss: 0.4643 | Val Acc: 82.49% | Sens: 0.92 | Spec: 0.66 | AUC: 0.82
Epoch 2 | Train Loss: 0.4505 | Val Loss: 0.4346 | Val Acc: 82.61% | Sens: 0.88 | Spec: 0.74 | AUC: 0.85
Epoch 3 | Train Loss: 0.3855 | Val Loss: 0.3821 | Val Acc: 85.55% | Sens: 0.93 | Spec: 0.72 | AUC: 0.89
Epoch 4 | Train Loss: 0.3211 | Val Loss: 0.2652 | Val Acc: 89.42% | Sens: 0.94 | Spec: 0.82 | AUC: 0.96
Epoch 5 | Train Loss: 0.3103 | Val Loss: 0.2558 | Val Acc: 92.13% | Sens: 0.92 | Spec: 0.92 | AUC: 0.96
Epoch 6 | Train Loss: 0.2259 | Val Loss: 0.2071 | Val Acc: 92.71% | Sens: 0.95 | Spec: 0.89 | AUC: 0.97
Epoch 7 | Train Loss: 0.2009 | Val Loss: 0.1936 | Val Acc: 93.07% | Sens: 0.94 | Spec: 0.91 | AUC: 0.97
Epoch 8 | Train Loss: 0.1713 | Val Loss: 0.1801 | Val Acc: 93.54% | Sens: 0.94 | Spec: 0.92 | AUC: 0.98
Epoch 9 | Train Loss: 0.1716 | Val Loss: 0.2014 | Val Acc: 91.54% | Sens: 0.96 | Spec: 0.84 | AUC: 0.98
Epoch 10 | Train Loss: 0.1654 | Val Loss: 0.1649 | Val Acc: 94.12% | Sens: 0.95 | Spec: 0.92 | AUC: 0.98
Epoch 11 | Train Loss: 0.1573 | Val Loss: 0.1642 | Val Acc: 94.71% | Sens: 0.94 | Spec: 0.96 | AUC: 0.98
Epoch 12 | Train Loss: 0.1484 | Val Loss: 0.1895 | Val Acc: 92.48% | Sens: 0.96 | Spec: 0.86 | AUC: 0.98
Epoch 13 | Train Loss: 0.1572 | Val Loss: 0.1622 | Val Acc: 94.24% | Sens: 0.94 | Spec: 0.95 | AUC: 0.98
Epoch 14 | Train Loss: 0.1463 | Val Loss: 0.1937 | Val Acc: 92.60% | Sens: 0.96 | Spec: 0.87 | AUC: 0.98
Epoch 15 | Train Loss: 0.1456 | Val Loss: 0.1383 | Val Acc: 94.36% | Sens: 0.95 | Spec: 0.93 | AUC: 0.99
Epoch 16 | Train Loss: 0.1518 | Val Loss: 0.1559 | Val Acc: 94.24% | Sens: 0.96 | Spec: 0.92 | AUC: 0.98
Epoch 17 | Train Loss: 0.1435 | Val Loss: 0.1439 | Val Acc: 95.06% | Sens: 0.94 | Spec: 0.96 | AUC: 0.99
Epoch 18 | Train Loss: 0.1389 | Val Loss: 0.1370 | Val Acc: 94.95% | Sens: 0.95 | Spec: 0.95 | AUC: 0.99
Epoch 19 | Train Loss: 0.1255 | Val Loss: 0.1355 | Val Acc: 95.30% | Sens: 0.95 | Spec: 0.96 | AUC: 0.99
Epoch 20 | Train Loss: 0.1115 | Val Loss: 0.1305 | Val Acc: 95.42% | Sens: 0.95 | Spec: 0.97 | AUC: 0.99
Epoch 21 | Train Loss: 0.1150 | Val Loss: 0.1334 | Val Acc: 94.83% | Sens: 0.95 | Spec: 0.95 | AUC: 0.99
Epoch 22 | Train Loss: 0.1125 | Val Loss: 0.1315 | Val Acc: 95.18% | Sens: 0.94 | Spec: 0.97 | AUC: 0.99
Epoch 23 | Train Loss: 0.1119 | Val Loss: 0.1334 | Val Acc: 95.06% | Sens: 0.96 | Spec: 0.94 | AUC: 0.99
Epoch 24 | Train Loss: 0.1133 | Val Loss: 0.1227 | Val Acc: 95.53% | Sens: 0.96 | Spec: 0.95 | AUC: 0.99
Epoch 25 | Train Loss: 0.1061 | Val Loss: 0.1230 | Val Acc: 95.06% | Sens: 0.96 | Spec: 0.93 | AUC: 0.99
Epoch 26 | Train Loss: 0.1055 | Val Loss: 0.1143 | Val Acc: 95.42% | Sens: 0.96 | Spec: 0.94 | AUC: 0.99
Epoch 27 | Train Loss: 0.1049 | Val Loss: 0.1206 | Val Acc: 95.18% | Sens: 0.97 | Spec: 0.93 | AUC: 0.99
Epoch 28 | Train Loss: 0.0946 | Val Loss: 0.1292 | Val Acc: 94.71% | Sens: 0.96 | Spec: 0.93 | AUC: 0.99
Epoch 29 | Train Loss: 0.0959 | Val Loss: 0.1208 | Val Acc: 94.95% | Sens: 0.96 | Spec: 0.93 | AUC: 0.99
Epoch 30 | Train Loss: 0.1002 | Val Loss: 0.1292 | Val Acc: 95.53% | Sens: 0.97 | Spec: 0.93 | AUC: 0.99
Epoch 31 | Train Loss: 0.0984 | Val Loss: 0.1133 | Val Acc: 95.42% | Sens: 0.96 | Spec: 0.95 | AUC: 0.99
Epoch 32 | Train Loss: 0.0903 | Val Loss: 0.1025 | Val Acc: 96.12% | Sens: 0.96 | Spec: 0.97 | AUC: 0.99
Epoch 33 | Train Loss: 0.0846 | Val Loss: 0.1072 | Val Acc: 96.00% | Sens: 0.95 | Spec: 0.98 | AUC: 0.99
Epoch 34 | Train Loss: 0.0823 | Val Loss: 0.1031 | Val Acc: 95.89% | Sens: 0.96 | Spec: 0.95 | AUC: 0.99
Epoch 35 | Train Loss: 0.0797 | Val Loss: 0.1265 | Val Acc: 96.00% | Sens: 0.98 | Spec: 0.93 | AUC: 0.99
Epoch 36 | Train Loss: 0.0862 | Val Loss: 0.1171 | Val Acc: 95.18% | Sens: 0.95 | Spec: 0.95 | AUC: 0.99
Epoch 37 | Train Loss: 0.0856 | Val Loss: 0.1240 | Val Acc: 95.30% | Sens: 0.95 | Spec: 0.95 | AUC: 0.99
Epoch 38 | Train Loss: 0.0795 | Val Loss: 0.1001 | Val Acc: 96.24% | Sens: 0.97 | Spec: 0.94 | AUC: 0.99
Epoch 39 | Train Loss: 0.0747 | Val Loss: 0.1358 | Val Acc: 96.00% | Sens: 0.99 | Spec: 0.92 | AUC: 0.99
Epoch 40 | Train Loss: 0.0818 | Val Loss: 0.1153 | Val Acc: 95.42% | Sens: 0.95 | Spec: 0.96 | AUC: 0.99
Epoch 41 | Train Loss: 0.0695 | Val Loss: 0.0987 | Val Acc: 96.12% | Sens: 0.97 | Spec: 0.94 | AUC: 0.99
Epoch 42 | Train Loss: 0.0691 | Val Loss: 0.0882 | Val Acc: 96.83% | Sens: 0.97 | Spec: 0.97 | AUC: 1.00
Epoch 43 | Train Loss: 0.0609 | Val Loss: 0.0958 | Val Acc: 96.00% | Sens: 0.96 | Spec: 0.95 | AUC: 0.99
Epoch 44 | Train Loss: 0.0608 | Val Loss: 0.1011 | Val Acc: 96.12% | Sens: 0.96 | Spec: 0.96 | AUC: 1.00
Epoch 45 | Train Loss: 0.0661 | Val Loss: 0.0887 | Val Acc: 95.65% | Sens: 0.96 | Spec: 0.95 | AUC: 1.00
Epoch 46 | Train Loss: 0.0659 | Val Loss: 0.0953 | Val Acc: 96.24% | Sens: 0.95 | Spec: 0.98 | AUC: 0.99
Epoch 47 | Train Loss: 0.0599 | Val Loss: 0.0971 | Val Acc: 96.47% | Sens: 0.97 | Spec: 0.96 | AUC: 0.99
