🚀 Starting run: trainpercent_1_run_3
📊 Trainingsdaten: 3404 von 3404 (100.0%)
Epoch 1 | Train Loss: 1.2105 | Val Loss: 0.4642 | Val Acc: 82.26% | Sens: 0.92 | Spec: 0.66 | AUC: 0.82
Epoch 2 | Train Loss: 0.4507 | Val Loss: 0.4386 | Val Acc: 82.02% | Sens: 0.87 | Spec: 0.74 | AUC: 0.85
Epoch 3 | Train Loss: 0.3839 | Val Loss: 0.3837 | Val Acc: 85.43% | Sens: 0.94 | Spec: 0.71 | AUC: 0.89
Epoch 4 | Train Loss: 0.3414 | Val Loss: 0.2941 | Val Acc: 88.13% | Sens: 0.94 | Spec: 0.78 | AUC: 0.95
Epoch 5 | Train Loss: 0.2710 | Val Loss: 0.2839 | Val Acc: 91.77% | Sens: 0.89 | Spec: 0.96 | AUC: 0.96
Epoch 6 | Train Loss: 0.2284 | Val Loss: 0.2068 | Val Acc: 92.95% | Sens: 0.93 | Spec: 0.92 | AUC: 0.97
Epoch 7 | Train Loss: 0.2102 | Val Loss: 0.2033 | Val Acc: 92.95% | Sens: 0.94 | Spec: 0.92 | AUC: 0.97
Epoch 8 | Train Loss: 0.1789 | Val Loss: 0.1875 | Val Acc: 93.77% | Sens: 0.93 | Spec: 0.95 | AUC: 0.98
Epoch 9 | Train Loss: 0.1827 | Val Loss: 0.2256 | Val Acc: 91.07% | Sens: 0.97 | Spec: 0.80 | AUC: 0.98
Epoch 10 | Train Loss: 0.1711 | Val Loss: 0.1724 | Val Acc: 93.30% | Sens: 0.94 | Spec: 0.92 | AUC: 0.98
Epoch 11 | Train Loss: 0.1516 | Val Loss: 0.1696 | Val Acc: 93.77% | Sens: 0.94 | Spec: 0.94 | AUC: 0.98
Epoch 12 | Train Loss: 0.1546 | Val Loss: 0.1871 | Val Acc: 92.48% | Sens: 0.96 | Spec: 0.85 | AUC: 0.98
Epoch 13 | Train Loss: 0.1580 | Val Loss: 0.1481 | Val Acc: 94.01% | Sens: 0.95 | Spec: 0.92 | AUC: 0.98
Epoch 14 | Train Loss: 0.1415 | Val Loss: 0.1516 | Val Acc: 94.12% | Sens: 0.96 | Spec: 0.91 | AUC: 0.99
Epoch 15 | Train Loss: 0.1375 | Val Loss: 0.1308 | Val Acc: 95.30% | Sens: 0.96 | Spec: 0.94 | AUC: 0.99
Epoch 16 | Train Loss: 0.1293 | Val Loss: 0.1329 | Val Acc: 94.48% | Sens: 0.95 | Spec: 0.94 | AUC: 0.99
Epoch 17 | Train Loss: 0.1314 | Val Loss: 0.1589 | Val Acc: 94.83% | Sens: 0.94 | Spec: 0.95 | AUC: 0.98
Epoch 18 | Train Loss: 0.1309 | Val Loss: 0.1254 | Val Acc: 95.18% | Sens: 0.95 | Spec: 0.95 | AUC: 0.99
Epoch 19 | Train Loss: 0.1203 | Val Loss: 0.1384 | Val Acc: 94.71% | Sens: 0.95 | Spec: 0.95 | AUC: 0.99
Epoch 20 | Train Loss: 0.1124 | Val Loss: 0.1277 | Val Acc: 95.77% | Sens: 0.97 | Spec: 0.94 | AUC: 0.99
Epoch 21 | Train Loss: 0.1102 | Val Loss: 0.1211 | Val Acc: 95.42% | Sens: 0.96 | Spec: 0.95 | AUC: 0.99
Epoch 22 | Train Loss: 0.1129 | Val Loss: 0.1221 | Val Acc: 95.53% | Sens: 0.95 | Spec: 0.97 | AUC: 0.99
Epoch 23 | Train Loss: 0.1121 | Val Loss: 0.1168 | Val Acc: 96.47% | Sens: 0.98 | Spec: 0.95 | AUC: 0.99
Epoch 24 | Train Loss: 0.1118 | Val Loss: 0.1263 | Val Acc: 95.65% | Sens: 0.95 | Spec: 0.97 | AUC: 0.99
Epoch 25 | Train Loss: 0.1069 | Val Loss: 0.1115 | Val Acc: 96.12% | Sens: 0.97 | Spec: 0.94 | AUC: 0.99
Epoch 26 | Train Loss: 0.0936 | Val Loss: 0.1068 | Val Acc: 96.59% | Sens: 0.97 | Spec: 0.95 | AUC: 0.99
Epoch 27 | Train Loss: 0.0998 | Val Loss: 0.1034 | Val Acc: 96.24% | Sens: 0.97 | Spec: 0.95 | AUC: 0.99
