🚀 Starting run: trainpercent_1_run_5
📊 Trainingsdaten: 3404 von 3404 (100.0%)
Epoch 1 | Train Loss: 1.2106 | Val Loss: 0.4644 | Val Acc: 82.61% | Sens: 0.92 | Spec: 0.66 | AUC: 0.82
Epoch 2 | Train Loss: 0.4507 | Val Loss: 0.4335 | Val Acc: 82.73% | Sens: 0.88 | Spec: 0.74 | AUC: 0.85
Epoch 3 | Train Loss: 0.3854 | Val Loss: 0.3840 | Val Acc: 85.31% | Sens: 0.94 | Spec: 0.71 | AUC: 0.89
Epoch 4 | Train Loss: 0.3326 | Val Loss: 0.3082 | Val Acc: 87.78% | Sens: 0.95 | Spec: 0.75 | AUC: 0.95
Epoch 5 | Train Loss: 0.2656 | Val Loss: 0.2517 | Val Acc: 91.30% | Sens: 0.90 | Spec: 0.93 | AUC: 0.96
Epoch 6 | Train Loss: 0.2229 | Val Loss: 0.1987 | Val Acc: 93.54% | Sens: 0.94 | Spec: 0.93 | AUC: 0.97
Epoch 7 | Train Loss: 0.2037 | Val Loss: 0.2075 | Val Acc: 92.60% | Sens: 0.95 | Spec: 0.89 | AUC: 0.97
Epoch 8 | Train Loss: 0.1757 | Val Loss: 0.1785 | Val Acc: 93.77% | Sens: 0.93 | Spec: 0.95 | AUC: 0.98
Epoch 9 | Train Loss: 0.1848 | Val Loss: 0.2170 | Val Acc: 91.07% | Sens: 0.96 | Spec: 0.82 | AUC: 0.97
Epoch 10 | Train Loss: 0.1753 | Val Loss: 0.1722 | Val Acc: 93.65% | Sens: 0.95 | Spec: 0.92 | AUC: 0.98
Epoch 11 | Train Loss: 0.1636 | Val Loss: 0.1658 | Val Acc: 94.01% | Sens: 0.94 | Spec: 0.94 | AUC: 0.98
Epoch 12 | Train Loss: 0.1574 | Val Loss: 0.1774 | Val Acc: 93.54% | Sens: 0.96 | Spec: 0.89 | AUC: 0.98
Epoch 13 | Train Loss: 0.1642 | Val Loss: 0.1517 | Val Acc: 94.48% | Sens: 0.95 | Spec: 0.94 | AUC: 0.98
Epoch 14 | Train Loss: 0.1446 | Val Loss: 0.1792 | Val Acc: 93.07% | Sens: 0.95 | Spec: 0.89 | AUC: 0.98
