📊 Training with 528 glioma and 1072 meningioma samples.
Using class weights: [0.6700000166893005, 0.32999998331069946]
Epoch 1 | Train Loss: 0.5643 | Val Loss: 0.5250 | Val Acc: 72.13% | Sens: 0.55 | Spec: 0.89 | AUC: 0.85
Epoch 2 | Train Loss: 0.4445 | Val Loss: 0.4758 | Val Acc: 78.72% | Sens: 0.90 | Spec: 0.68 | AUC: 0.87
Epoch 3 | Train Loss: 0.3864 | Val Loss: 0.4410 | Val Acc: 77.97% | Sens: 0.70 | Spec: 0.86 | AUC: 0.89
Epoch 4 | Train Loss: 0.3572 | Val Loss: 0.4831 | Val Acc: 75.14% | Sens: 0.57 | Spec: 0.93 | AUC: 0.90
Epoch 5 | Train Loss: 0.3164 | Val Loss: 0.4201 | Val Acc: 83.43% | Sens: 0.90 | Spec: 0.77 | AUC: 0.91
Epoch 6 | Train Loss: 0.2957 | Val Loss: 0.3864 | Val Acc: 83.43% | Sens: 0.89 | Spec: 0.78 | AUC: 0.92
Epoch 7 | Train Loss: 0.2995 | Val Loss: 0.3537 | Val Acc: 84.18% | Sens: 0.88 | Spec: 0.81 | AUC: 0.93
Epoch 8 | Train Loss: 0.2389 | Val Loss: 0.3710 | Val Acc: 85.12% | Sens: 0.90 | Spec: 0.80 | AUC: 0.93
Epoch 9 | Train Loss: 0.2273 | Val Loss: 0.4562 | Val Acc: 83.62% | Sens: 0.95 | Spec: 0.72 | AUC: 0.92
Epoch 10 | Train Loss: 0.2178 | Val Loss: 0.3354 | Val Acc: 87.01% | Sens: 0.89 | Spec: 0.85 | AUC: 0.94
Epoch 11 | Train Loss: 0.1764 | Val Loss: 0.3442 | Val Acc: 88.89% | Sens: 0.94 | Spec: 0.84 | AUC: 0.95
Epoch 12 | Train Loss: 0.1929 | Val Loss: 0.3570 | Val Acc: 87.95% | Sens: 0.97 | Spec: 0.79 | AUC: 0.94
Epoch 13 | Train Loss: 0.1434 | Val Loss: 0.3203 | Val Acc: 87.38% | Sens: 0.90 | Spec: 0.85 | AUC: 0.94
Epoch 14 | Train Loss: 0.1251 | Val Loss: 0.3525 | Val Acc: 88.70% | Sens: 0.93 | Spec: 0.85 | AUC: 0.94
Epoch 15 | Train Loss: 0.1439 | Val Loss: 0.3839 | Val Acc: 88.70% | Sens: 0.95 | Spec: 0.82 | AUC: 0.94
Epoch 16 | Train Loss: 0.1270 | Val Loss: 0.4064 | Val Acc: 87.38% | Sens: 0.96 | Spec: 0.79 | AUC: 0.94
Epoch 17 | Train Loss: 0.1230 | Val Loss: 0.3068 | Val Acc: 89.45% | Sens: 0.92 | Spec: 0.87 | AUC: 0.95
Epoch 18 | Train Loss: 0.0795 | Val Loss: 0.4586 | Val Acc: 88.32% | Sens: 0.97 | Spec: 0.80 | AUC: 0.95
Epoch 19 | Train Loss: 0.0924 | Val Loss: 0.3797 | Val Acc: 87.57% | Sens: 0.86 | Spec: 0.89 | AUC: 0.95
Epoch 20 | Train Loss: 0.0879 | Val Loss: 0.4097 | Val Acc: 89.27% | Sens: 0.94 | Spec: 0.84 | AUC: 0.95
Epoch 21 | Train Loss: 0.1003 | Val Loss: 0.3902 | Val Acc: 89.64% | Sens: 0.96 | Spec: 0.84 | AUC: 0.95
