🚀 Starting run: trainpercent_1_run_7
📊 Trainingsdaten: 3404 von 3404 (100.0%)
Epoch 1 | Train Loss: 1.2105 | Val Loss: 0.4641 | Val Acc: 82.26% | Sens: 0.92 | Spec: 0.66 | AUC: 0.82
Epoch 2 | Train Loss: 0.4493 | Val Loss: 0.4314 | Val Acc: 83.08% | Sens: 0.88 | Spec: 0.74 | AUC: 0.85
Epoch 3 | Train Loss: 0.3833 | Val Loss: 0.3770 | Val Acc: 85.55% | Sens: 0.94 | Spec: 0.71 | AUC: 0.90
Epoch 4 | Train Loss: 0.3251 | Val Loss: 0.3416 | Val Acc: 85.43% | Sens: 0.97 | Spec: 0.66 | AUC: 0.95
Epoch 5 | Train Loss: 0.2672 | Val Loss: 0.2468 | Val Acc: 92.71% | Sens: 0.91 | Spec: 0.96 | AUC: 0.97
Epoch 6 | Train Loss: 0.2181 | Val Loss: 0.2018 | Val Acc: 93.54% | Sens: 0.93 | Spec: 0.94 | AUC: 0.97
Epoch 7 | Train Loss: 0.2058 | Val Loss: 0.1989 | Val Acc: 92.95% | Sens: 0.93 | Spec: 0.92 | AUC: 0.97
Epoch 8 | Train Loss: 0.1756 | Val Loss: 0.1837 | Val Acc: 92.95% | Sens: 0.94 | Spec: 0.91 | AUC: 0.98
Epoch 9 | Train Loss: 0.1729 | Val Loss: 0.1884 | Val Acc: 92.48% | Sens: 0.96 | Spec: 0.86 | AUC: 0.98
Epoch 10 | Train Loss: 0.1600 | Val Loss: 0.1784 | Val Acc: 93.18% | Sens: 0.95 | Spec: 0.91 | AUC: 0.98
Epoch 11 | Train Loss: 0.1566 | Val Loss: 0.1691 | Val Acc: 93.89% | Sens: 0.96 | Spec: 0.90 | AUC: 0.98
Epoch 12 | Train Loss: 0.1441 | Val Loss: 0.1453 | Val Acc: 94.95% | Sens: 0.97 | Spec: 0.92 | AUC: 0.98
Epoch 13 | Train Loss: 0.1491 | Val Loss: 0.1508 | Val Acc: 94.12% | Sens: 0.96 | Spec: 0.92 | AUC: 0.98
Epoch 14 | Train Loss: 0.1403 | Val Loss: 0.1814 | Val Acc: 93.07% | Sens: 0.96 | Spec: 0.88 | AUC: 0.98
Epoch 15 | Train Loss: 0.1443 | Val Loss: 0.1446 | Val Acc: 94.95% | Sens: 0.94 | Spec: 0.96 | AUC: 0.99
Epoch 16 | Train Loss: 0.1329 | Val Loss: 0.1231 | Val Acc: 96.00% | Sens: 0.97 | Spec: 0.95 | AUC: 0.99
Epoch 17 | Train Loss: 0.1257 | Val Loss: 0.1575 | Val Acc: 94.59% | Sens: 0.94 | Spec: 0.96 | AUC: 0.98
Epoch 18 | Train Loss: 0.1198 | Val Loss: 0.1217 | Val Acc: 95.89% | Sens: 0.96 | Spec: 0.96 | AUC: 0.99
Epoch 19 | Train Loss: 0.1173 | Val Loss: 0.1330 | Val Acc: 94.24% | Sens: 0.95 | Spec: 0.94 | AUC: 0.99
Epoch 20 | Train Loss: 0.1144 | Val Loss: 0.1360 | Val Acc: 95.42% | Sens: 0.94 | Spec: 0.97 | AUC: 0.99
Epoch 21 | Train Loss: 0.1117 | Val Loss: 0.1156 | Val Acc: 96.00% | Sens: 0.97 | Spec: 0.95 | AUC: 0.99
Epoch 22 | Train Loss: 0.1245 | Val Loss: 0.1363 | Val Acc: 95.06% | Sens: 0.94 | Spec: 0.96 | AUC: 0.99
Epoch 23 | Train Loss: 0.1137 | Val Loss: 0.1048 | Val Acc: 96.59% | Sens: 0.96 | Spec: 0.97 | AUC: 0.99
Epoch 24 | Train Loss: 0.1145 | Val Loss: 0.1217 | Val Acc: 95.65% | Sens: 0.95 | Spec: 0.97 | AUC: 0.99
Epoch 25 | Train Loss: 0.1018 | Val Loss: 0.1137 | Val Acc: 96.12% | Sens: 0.97 | Spec: 0.94 | AUC: 0.99
Epoch 26 | Train Loss: 0.0905 | Val Loss: 0.1014 | Val Acc: 96.47% | Sens: 0.97 | Spec: 0.96 | AUC: 0.99
Epoch 27 | Train Loss: 0.0949 | Val Loss: 0.0974 | Val Acc: 96.12% | Sens: 0.96 | Spec: 0.95 | AUC: 0.99
Epoch 28 | Train Loss: 0.0853 | Val Loss: 0.0990 | Val Acc: 96.47% | Sens: 0.98 | Spec: 0.95 | AUC: 0.99
Epoch 29 | Train Loss: 0.0996 | Val Loss: 0.1304 | Val Acc: 96.12% | Sens: 0.98 | Spec: 0.93 | AUC: 0.99
Epoch 30 | Train Loss: 0.1110 | Val Loss: 0.0896 | Val Acc: 96.24% | Sens: 0.97 | Spec: 0.95 | AUC: 0.99
Epoch 31 | Train Loss: 0.0747 | Val Loss: 0.0879 | Val Acc: 96.71% | Sens: 0.97 | Spec: 0.97 | AUC: 0.99
Epoch 32 | Train Loss: 0.0828 | Val Loss: 0.0949 | Val Acc: 96.12% | Sens: 0.99 | Spec: 0.92 | AUC: 0.99
Epoch 33 | Train Loss: 0.0854 | Val Loss: 0.0898 | Val Acc: 96.59% | Sens: 0.97 | Spec: 0.96 | AUC: 1.00
Epoch 34 | Train Loss: 0.0824 | Val Loss: 0.0921 | Val Acc: 96.47% | Sens: 0.98 | Spec: 0.94 | AUC: 1.00
Epoch 35 | Train Loss: 0.0776 | Val Loss: 0.0824 | Val Acc: 96.94% | Sens: 0.97 | Spec: 0.97 | AUC: 1.00
Epoch 36 | Train Loss: 0.0658 | Val Loss: 0.0847 | Val Acc: 97.41% | Sens: 0.97 | Spec: 0.98 | AUC: 1.00
Epoch 37 | Train Loss: 0.0642 | Val Loss: 0.0724 | Val Acc: 97.06% | Sens: 0.97 | Spec: 0.97 | AUC: 1.00
Epoch 38 | Train Loss: 0.0658 | Val Loss: 0.0748 | Val Acc: 96.71% | Sens: 0.97 | Spec: 0.96 | AUC: 1.00
Epoch 39 | Train Loss: 0.0615 | Val Loss: 0.0893 | Val Acc: 96.59% | Sens: 0.98 | Spec: 0.94 | AUC: 1.00
Epoch 40 | Train Loss: 0.0607 | Val Loss: 0.0952 | Val Acc: 96.47% | Sens: 0.97 | Spec: 0.96 | AUC: 1.00
Epoch 41 | Train Loss: 0.0712 | Val Loss: 0.0831 | Val Acc: 96.71% | Sens: 0.97 | Spec: 0.97 | AUC: 1.00
Epoch 42 | Train Loss: 0.0680 | Val Loss: 0.0749 | Val Acc: 96.83% | Sens: 0.97 | Spec: 0.97 | AUC: 1.00
Epoch 43 | Train Loss: 0.0503 | Val Loss: 0.0673 | Val Acc: 97.06% | Sens: 0.98 | Spec: 0.96 | AUC: 1.00
Epoch 44 | Train Loss: 0.0529 | Val Loss: 0.0766 | Val Acc: 96.47% | Sens: 0.98 | Spec: 0.95 | AUC: 1.00
Epoch 45 | Train Loss: 0.0466 | Val Loss: 0.0653 | Val Acc: 96.59% | Sens: 0.97 | Spec: 0.95 | AUC: 1.00
Epoch 46 | Train Loss: 0.0573 | Val Loss: 0.0702 | Val Acc: 97.18% | Sens: 0.97 | Spec: 0.97 | AUC: 1.00
Epoch 47 | Train Loss: 0.0582 | Val Loss: 0.0801 | Val Acc: 96.59% | Sens: 0.97 | Spec: 0.96 | AUC: 1.00
Epoch 48 | Train Loss: 0.0467 | Val Loss: 0.0913 | Val Acc: 97.53% | Sens: 0.96 | Spec: 1.00 | AUC: 1.00
Epoch 49 | Train Loss: 0.0460 | Val Loss: 0.0639 | Val Acc: 97.65% | Sens: 0.98 | Spec: 0.97 | AUC: 1.00
