🚀 Starting run: trainpercent_1_run_10
📊 Trainingsdaten: 3404 von 3404 (100.0%)
Epoch 1 | Train Loss: 1.2107 | Val Loss: 0.4643 | Val Acc: 82.49% | Sens: 0.92 | Spec: 0.66 | AUC: 0.82
Epoch 2 | Train Loss: 0.4509 | Val Loss: 0.4338 | Val Acc: 82.61% | Sens: 0.88 | Spec: 0.74 | AUC: 0.85
Epoch 3 | Train Loss: 0.3858 | Val Loss: 0.3825 | Val Acc: 85.43% | Sens: 0.93 | Spec: 0.72 | AUC: 0.89
Epoch 4 | Train Loss: 0.3266 | Val Loss: 0.2850 | Val Acc: 88.25% | Sens: 0.95 | Spec: 0.77 | AUC: 0.95
Epoch 5 | Train Loss: 0.3181 | Val Loss: 0.2919 | Val Acc: 90.83% | Sens: 0.89 | Spec: 0.94 | AUC: 0.96
Epoch 6 | Train Loss: 0.2528 | Val Loss: 0.2862 | Val Acc: 87.31% | Sens: 0.97 | Spec: 0.71 | AUC: 0.97
Epoch 7 | Train Loss: 0.2202 | Val Loss: 0.2010 | Val Acc: 93.07% | Sens: 0.95 | Spec: 0.89 | AUC: 0.97
Epoch 8 | Train Loss: 0.1841 | Val Loss: 0.1909 | Val Acc: 93.07% | Sens: 0.94 | Spec: 0.92 | AUC: 0.98
Epoch 9 | Train Loss: 0.1844 | Val Loss: 0.1900 | Val Acc: 92.71% | Sens: 0.94 | Spec: 0.90 | AUC: 0.98
Epoch 10 | Train Loss: 0.1726 | Val Loss: 0.1755 | Val Acc: 93.65% | Sens: 0.95 | Spec: 0.91 | AUC: 0.98
Epoch 11 | Train Loss: 0.1585 | Val Loss: 0.1698 | Val Acc: 93.54% | Sens: 0.94 | Spec: 0.93 | AUC: 0.98
Epoch 12 | Train Loss: 0.1546 | Val Loss: 0.1651 | Val Acc: 93.65% | Sens: 0.96 | Spec: 0.90 | AUC: 0.98
Epoch 13 | Train Loss: 0.1573 | Val Loss: 0.1686 | Val Acc: 93.30% | Sens: 0.95 | Spec: 0.91 | AUC: 0.98
Epoch 14 | Train Loss: 0.1458 | Val Loss: 0.2011 | Val Acc: 92.95% | Sens: 0.94 | Spec: 0.90 | AUC: 0.98
Epoch 15 | Train Loss: 0.1478 | Val Loss: 0.1536 | Val Acc: 94.01% | Sens: 0.95 | Spec: 0.93 | AUC: 0.98
Epoch 16 | Train Loss: 0.1341 | Val Loss: 0.1616 | Val Acc: 93.65% | Sens: 0.94 | Spec: 0.93 | AUC: 0.98
Epoch 17 | Train Loss: 0.1361 | Val Loss: 0.1526 | Val Acc: 94.36% | Sens: 0.95 | Spec: 0.93 | AUC: 0.98
Epoch 18 | Train Loss: 0.1344 | Val Loss: 0.1558 | Val Acc: 94.01% | Sens: 0.95 | Spec: 0.93 | AUC: 0.98
Epoch 19 | Train Loss: 0.1391 | Val Loss: 0.1683 | Val Acc: 93.77% | Sens: 0.94 | Spec: 0.94 | AUC: 0.98
Epoch 20 | Train Loss: 0.1272 | Val Loss: 0.1691 | Val Acc: 93.54% | Sens: 0.95 | Spec: 0.91 | AUC: 0.98
Epoch 21 | Train Loss: 0.1287 | Val Loss: 0.1393 | Val Acc: 93.89% | Sens: 0.94 | Spec: 0.93 | AUC: 0.99
Epoch 22 | Train Loss: 0.1278 | Val Loss: 0.1399 | Val Acc: 94.36% | Sens: 0.95 | Spec: 0.93 | AUC: 0.99
Epoch 23 | Train Loss: 0.1195 | Val Loss: 0.1341 | Val Acc: 95.42% | Sens: 0.96 | Spec: 0.95 | AUC: 0.99
Epoch 24 | Train Loss: 0.1197 | Val Loss: 0.1233 | Val Acc: 95.18% | Sens: 0.95 | Spec: 0.95 | AUC: 0.99
Epoch 25 | Train Loss: 0.1136 | Val Loss: 0.1283 | Val Acc: 95.42% | Sens: 0.95 | Spec: 0.96 | AUC: 0.99
Epoch 26 | Train Loss: 0.1115 | Val Loss: 0.1329 | Val Acc: 94.95% | Sens: 0.97 | Spec: 0.91 | AUC: 0.99
Epoch 27 | Train Loss: 0.1016 | Val Loss: 0.1317 | Val Acc: 94.48% | Sens: 0.95 | Spec: 0.94 | AUC: 0.99
Epoch 28 | Train Loss: 0.0999 | Val Loss: 0.1300 | Val Acc: 95.06% | Sens: 0.95 | Spec: 0.95 | AUC: 0.99
Epoch 29 | Train Loss: 0.1025 | Val Loss: 0.1230 | Val Acc: 94.71% | Sens: 0.95 | Spec: 0.94 | AUC: 0.99
Epoch 30 | Train Loss: 0.0956 | Val Loss: 0.1102 | Val Acc: 95.77% | Sens: 0.96 | Spec: 0.95 | AUC: 0.99
Epoch 31 | Train Loss: 0.0979 | Val Loss: 0.1335 | Val Acc: 94.83% | Sens: 0.94 | Spec: 0.96 | AUC: 0.99
Epoch 32 | Train Loss: 0.0976 | Val Loss: 0.1183 | Val Acc: 95.42% | Sens: 0.95 | Spec: 0.96 | AUC: 0.99
Epoch 33 | Train Loss: 0.0956 | Val Loss: 0.1130 | Val Acc: 95.89% | Sens: 0.95 | Spec: 0.97 | AUC: 0.99
Epoch 34 | Train Loss: 0.0865 | Val Loss: 0.1095 | Val Acc: 95.89% | Sens: 0.97 | Spec: 0.94 | AUC: 0.99
Epoch 35 | Train Loss: 0.0866 | Val Loss: 0.1090 | Val Acc: 96.71% | Sens: 0.98 | Spec: 0.95 | AUC: 0.99
Epoch 36 | Train Loss: 0.0687 | Val Loss: 0.1149 | Val Acc: 96.00% | Sens: 0.97 | Spec: 0.94 | AUC: 0.99
Epoch 37 | Train Loss: 0.0903 | Val Loss: 0.1261 | Val Acc: 95.06% | Sens: 0.95 | Spec: 0.95 | AUC: 0.99
