📊 Training with 1489 tumor and 1276 no_tumor samples.
Using class weights: [0.53851717710495, 0.46148282289505005]
Epoch 1 | Train Loss: 1.0953 | Val Loss: 0.6921 | Val Acc: 62.51% | Sens: 1.00 | Spec: 0.00 | AUC: 0.57
Epoch 2 | Train Loss: 0.6998 | Val Loss: 0.6893 | Val Acc: 62.51% | Sens: 1.00 | Spec: 0.00 | AUC: 0.58
Epoch 3 | Train Loss: 0.6944 | Val Loss: 0.6905 | Val Acc: 62.51% | Sens: 1.00 | Spec: 0.00 | AUC: 0.57
Epoch 4 | Train Loss: 0.6966 | Val Loss: 0.7154 | Val Acc: 37.49% | Sens: 0.00 | Spec: 1.00 | AUC: 0.58
Epoch 5 | Train Loss: 0.6989 | Val Loss: 0.6876 | Val Acc: 62.51% | Sens: 1.00 | Spec: 0.00 | AUC: 0.59
Epoch 6 | Train Loss: 0.7011 | Val Loss: 0.6813 | Val Acc: 62.51% | Sens: 1.00 | Spec: 0.00 | AUC: 0.47
Epoch 7 | Train Loss: 0.6954 | Val Loss: 0.6294 | Val Acc: 68.39% | Sens: 0.98 | Spec: 0.19 | AUC: 0.83
Epoch 8 | Train Loss: 0.5526 | Val Loss: 0.4788 | Val Acc: 79.32% | Sens: 0.79 | Spec: 0.81 | AUC: 0.87
Epoch 9 | Train Loss: 0.4278 | Val Loss: 0.3316 | Val Acc: 88.60% | Sens: 0.93 | Spec: 0.82 | AUC: 0.94
Epoch 10 | Train Loss: 0.3423 | Val Loss: 0.2457 | Val Acc: 93.54% | Sens: 0.93 | Spec: 0.95 | AUC: 0.97
Epoch 11 | Train Loss: 0.2619 | Val Loss: 0.1885 | Val Acc: 93.77% | Sens: 0.93 | Spec: 0.96 | AUC: 0.98
Epoch 12 | Train Loss: 0.2517 | Val Loss: 0.2195 | Val Acc: 93.30% | Sens: 0.91 | Spec: 0.97 | AUC: 0.97
Epoch 13 | Train Loss: 0.2356 | Val Loss: 0.1811 | Val Acc: 94.83% | Sens: 0.94 | Spec: 0.97 | AUC: 0.98
Epoch 14 | Train Loss: 0.2152 | Val Loss: 0.1948 | Val Acc: 94.71% | Sens: 0.92 | Spec: 0.99 | AUC: 0.98
Epoch 15 | Train Loss: 0.2108 | Val Loss: 0.1815 | Val Acc: 95.18% | Sens: 0.93 | Spec: 0.99 | AUC: 0.98
Epoch 16 | Train Loss: 0.1972 | Val Loss: 0.1463 | Val Acc: 95.06% | Sens: 0.94 | Spec: 0.97 | AUC: 0.98
Epoch 17 | Train Loss: 0.1864 | Val Loss: 0.1508 | Val Acc: 95.30% | Sens: 0.93 | Spec: 0.99 | AUC: 0.99
Epoch 18 | Train Loss: 0.1813 | Val Loss: 0.1821 | Val Acc: 94.24% | Sens: 0.91 | Spec: 0.99 | AUC: 0.99
Epoch 19 | Train Loss: 0.1820 | Val Loss: 0.1356 | Val Acc: 95.06% | Sens: 0.94 | Spec: 0.97 | AUC: 0.99
Epoch 20 | Train Loss: 0.1724 | Val Loss: 0.1536 | Val Acc: 95.30% | Sens: 0.93 | Spec: 0.99 | AUC: 0.99
Epoch 21 | Train Loss: 0.1819 | Val Loss: 0.1322 | Val Acc: 95.77% | Sens: 0.94 | Spec: 0.98 | AUC: 0.99
Epoch 22 | Train Loss: 0.1784 | Val Loss: 0.1498 | Val Acc: 95.77% | Sens: 0.94 | Spec: 0.99 | AUC: 0.99
Epoch 23 | Train Loss: 0.1636 | Val Loss: 0.1292 | Val Acc: 95.77% | Sens: 0.95 | Spec: 0.97 | AUC: 0.99
Epoch 24 | Train Loss: 0.1629 | Val Loss: 0.1353 | Val Acc: 95.65% | Sens: 0.94 | Spec: 0.98 | AUC: 0.99
Epoch 25 | Train Loss: 0.1498 | Val Loss: 0.1299 | Val Acc: 95.42% | Sens: 0.94 | Spec: 0.97 | AUC: 0.99
Epoch 26 | Train Loss: 0.1553 | Val Loss: 0.1460 | Val Acc: 95.06% | Sens: 0.94 | Spec: 0.97 | AUC: 0.99
Epoch 27 | Train Loss: 0.1618 | Val Loss: 0.1339 | Val Acc: 95.65% | Sens: 0.94 | Spec: 0.98 | AUC: 0.99
Epoch 28 | Train Loss: 0.1427 | Val Loss: 0.1327 | Val Acc: 95.77% | Sens: 0.94 | Spec: 0.99 | AUC: 0.99
Epoch 29 | Train Loss: 0.1494 | Val Loss: 0.1554 | Val Acc: 95.18% | Sens: 0.93 | Spec: 0.99 | AUC: 0.99
Epoch 30 | Train Loss: 0.1454 | Val Loss: 0.1292 | Val Acc: 95.89% | Sens: 0.94 | Spec: 0.98 | AUC: 0.99
Epoch 31 | Train Loss: 0.1386 | Val Loss: 0.1232 | Val Acc: 96.00% | Sens: 0.95 | Spec: 0.98 | AUC: 0.99
Epoch 32 | Train Loss: 0.1492 | Val Loss: 0.1160 | Val Acc: 96.83% | Sens: 0.96 | Spec: 0.98 | AUC: 0.99
Epoch 33 | Train Loss: 0.1371 | Val Loss: 0.1195 | Val Acc: 96.59% | Sens: 0.96 | Spec: 0.97 | AUC: 0.99
Epoch 34 | Train Loss: 0.1293 | Val Loss: 0.1331 | Val Acc: 96.00% | Sens: 0.94 | Spec: 0.99 | AUC: 0.99
Epoch 35 | Train Loss: 0.1305 | Val Loss: 0.1212 | Val Acc: 95.89% | Sens: 0.95 | Spec: 0.98 | AUC: 0.99
