📊 Training with 1702 tumor and 1276 no_tumor samples.
Using class weights: [0.5715245604515076, 0.4284754991531372]
Epoch 1 | Train Loss: 1.1523 | Val Loss: 0.5127 | Val Acc: 75.91% | Sens: 0.72 | Spec: 0.82 | AUC: 0.87
Epoch 2 | Train Loss: 0.4209 | Val Loss: 0.3709 | Val Acc: 87.43% | Sens: 0.84 | Spec: 0.93 | AUC: 0.95
Epoch 3 | Train Loss: 0.3701 | Val Loss: 0.3987 | Val Acc: 84.49% | Sens: 0.75 | Spec: 1.00 | AUC: 0.97
Epoch 4 | Train Loss: 0.2686 | Val Loss: 0.2113 | Val Acc: 93.89% | Sens: 0.91 | Spec: 0.98 | AUC: 0.98
Epoch 5 | Train Loss: 0.2609 | Val Loss: 0.1872 | Val Acc: 94.83% | Sens: 0.92 | Spec: 0.99 | AUC: 0.98
Epoch 6 | Train Loss: 0.2188 | Val Loss: 0.1999 | Val Acc: 94.48% | Sens: 0.91 | Spec: 1.00 | AUC: 0.98
Epoch 7 | Train Loss: 0.2097 | Val Loss: 0.1653 | Val Acc: 94.95% | Sens: 0.93 | Spec: 0.98 | AUC: 0.98
Epoch 8 | Train Loss: 0.1960 | Val Loss: 0.1646 | Val Acc: 94.59% | Sens: 0.92 | Spec: 0.98 | AUC: 0.99
Epoch 9 | Train Loss: 0.1985 | Val Loss: 0.2074 | Val Acc: 92.24% | Sens: 0.96 | Spec: 0.86 | AUC: 0.98
Epoch 10 | Train Loss: 0.2144 | Val Loss: 0.1647 | Val Acc: 94.83% | Sens: 0.92 | Spec: 0.99 | AUC: 0.98
Epoch 11 | Train Loss: 0.1857 | Val Loss: 0.1643 | Val Acc: 94.36% | Sens: 0.92 | Spec: 0.99 | AUC: 0.99
Epoch 12 | Train Loss: 0.1853 | Val Loss: 0.1295 | Val Acc: 95.65% | Sens: 0.96 | Spec: 0.96 | AUC: 0.99
Epoch 13 | Train Loss: 0.1783 | Val Loss: 0.1392 | Val Acc: 95.53% | Sens: 0.94 | Spec: 0.97 | AUC: 0.99
Epoch 14 | Train Loss: 0.1873 | Val Loss: 0.1406 | Val Acc: 95.06% | Sens: 0.93 | Spec: 0.98 | AUC: 0.99
Epoch 15 | Train Loss: 0.1577 | Val Loss: 0.1221 | Val Acc: 95.89% | Sens: 0.95 | Spec: 0.98 | AUC: 0.99
Epoch 16 | Train Loss: 0.1673 | Val Loss: 0.1301 | Val Acc: 95.89% | Sens: 0.96 | Spec: 0.95 | AUC: 0.99
Epoch 17 | Train Loss: 0.1573 | Val Loss: 0.1462 | Val Acc: 95.42% | Sens: 0.93 | Spec: 0.99 | AUC: 0.99
Epoch 18 | Train Loss: 0.1570 | Val Loss: 0.1191 | Val Acc: 96.24% | Sens: 0.95 | Spec: 0.99 | AUC: 0.99
Epoch 19 | Train Loss: 0.1346 | Val Loss: 0.1163 | Val Acc: 96.47% | Sens: 0.96 | Spec: 0.97 | AUC: 0.99
Epoch 20 | Train Loss: 0.1368 | Val Loss: 0.1140 | Val Acc: 96.36% | Sens: 0.97 | Spec: 0.96 | AUC: 0.99
Epoch 21 | Train Loss: 0.1332 | Val Loss: 0.1100 | Val Acc: 96.47% | Sens: 0.96 | Spec: 0.97 | AUC: 0.99
Epoch 22 | Train Loss: 0.1260 | Val Loss: 0.1022 | Val Acc: 96.83% | Sens: 0.96 | Spec: 0.98 | AUC: 0.99
Epoch 23 | Train Loss: 0.1208 | Val Loss: 0.1351 | Val Acc: 95.53% | Sens: 0.94 | Spec: 0.99 | AUC: 0.99
Epoch 24 | Train Loss: 0.1252 | Val Loss: 0.1036 | Val Acc: 96.59% | Sens: 0.96 | Spec: 0.98 | AUC: 0.99
Epoch 25 | Train Loss: 0.1313 | Val Loss: 0.1027 | Val Acc: 96.47% | Sens: 0.95 | Spec: 0.99 | AUC: 0.99
Epoch 26 | Train Loss: 0.1269 | Val Loss: 0.1098 | Val Acc: 96.47% | Sens: 0.95 | Spec: 0.98 | AUC: 0.99
Epoch 27 | Train Loss: 0.1240 | Val Loss: 0.1016 | Val Acc: 96.83% | Sens: 0.95 | Spec: 0.99 | AUC: 0.99
Epoch 28 | Train Loss: 0.1280 | Val Loss: 0.1032 | Val Acc: 96.47% | Sens: 0.95 | Spec: 0.99 | AUC: 0.99
Epoch 29 | Train Loss: 0.1039 | Val Loss: 0.0911 | Val Acc: 97.30% | Sens: 0.97 | Spec: 0.98 | AUC: 0.99
Epoch 30 | Train Loss: 0.0963 | Val Loss: 0.0955 | Val Acc: 96.83% | Sens: 0.96 | Spec: 0.98 | AUC: 0.99
Epoch 31 | Train Loss: 0.1077 | Val Loss: 0.0902 | Val Acc: 97.06% | Sens: 0.96 | Spec: 0.98 | AUC: 0.99
Epoch 32 | Train Loss: 0.1105 | Val Loss: 0.0853 | Val Acc: 97.30% | Sens: 0.97 | Spec: 0.98 | AUC: 0.99
