📊 Training with 1702 tumor and 1276 no_tumor samples.
Using class weights: [0.5715245604515076, 0.4284754991531372]
Epoch 1 | Train Loss: 0.7595 | Val Loss: 0.8342 | Val Acc: 51.82% | Sens: 0.24 | Spec: 0.98 | AUC: 0.95
Epoch 2 | Train Loss: 0.4167 | Val Loss: 0.2541 | Val Acc: 93.77% | Sens: 0.93 | Spec: 0.96 | AUC: 0.98
Epoch 3 | Train Loss: 0.2386 | Val Loss: 0.1941 | Val Acc: 94.83% | Sens: 0.94 | Spec: 0.96 | AUC: 0.98
Epoch 4 | Train Loss: 0.2169 | Val Loss: 0.1808 | Val Acc: 94.48% | Sens: 0.94 | Spec: 0.96 | AUC: 0.98
Epoch 5 | Train Loss: 0.2242 | Val Loss: 0.2078 | Val Acc: 93.42% | Sens: 0.90 | Spec: 0.99 | AUC: 0.99
Epoch 6 | Train Loss: 0.1997 | Val Loss: 0.1690 | Val Acc: 94.71% | Sens: 0.93 | Spec: 0.98 | AUC: 0.99
Epoch 7 | Train Loss: 0.1687 | Val Loss: 0.1327 | Val Acc: 96.00% | Sens: 0.95 | Spec: 0.98 | AUC: 0.99
Epoch 8 | Train Loss: 0.1630 | Val Loss: 0.1322 | Val Acc: 95.89% | Sens: 0.97 | Spec: 0.94 | AUC: 0.99
Epoch 9 | Train Loss: 0.1561 | Val Loss: 0.1431 | Val Acc: 94.48% | Sens: 0.98 | Spec: 0.89 | AUC: 0.99
Epoch 10 | Train Loss: 0.1641 | Val Loss: 0.1300 | Val Acc: 96.12% | Sens: 0.94 | Spec: 1.00 | AUC: 0.99
Epoch 11 | Train Loss: 0.1320 | Val Loss: 0.1193 | Val Acc: 95.77% | Sens: 0.96 | Spec: 0.96 | AUC: 0.99
Epoch 12 | Train Loss: 0.1282 | Val Loss: 0.1028 | Val Acc: 97.18% | Sens: 0.96 | Spec: 0.99 | AUC: 0.99
Epoch 13 | Train Loss: 0.1124 | Val Loss: 0.0981 | Val Acc: 96.94% | Sens: 0.97 | Spec: 0.97 | AUC: 0.99
Epoch 14 | Train Loss: 0.1070 | Val Loss: 0.1016 | Val Acc: 97.18% | Sens: 0.96 | Spec: 1.00 | AUC: 0.99
Epoch 15 | Train Loss: 0.1001 | Val Loss: 0.1002 | Val Acc: 97.06% | Sens: 0.95 | Spec: 1.00 | AUC: 0.99
Epoch 16 | Train Loss: 0.0956 | Val Loss: 0.0802 | Val Acc: 97.88% | Sens: 0.98 | Spec: 0.98 | AUC: 1.00
Epoch 17 | Train Loss: 0.0985 | Val Loss: 0.0871 | Val Acc: 98.00% | Sens: 0.97 | Spec: 0.99 | AUC: 0.99
Epoch 18 | Train Loss: 0.0889 | Val Loss: 0.0864 | Val Acc: 97.77% | Sens: 0.97 | Spec: 0.99 | AUC: 0.99
Epoch 19 | Train Loss: 0.0697 | Val Loss: 0.1117 | Val Acc: 97.30% | Sens: 0.96 | Spec: 1.00 | AUC: 0.99
Epoch 20 | Train Loss: 0.0726 | Val Loss: 0.1056 | Val Acc: 97.53% | Sens: 0.96 | Spec: 1.00 | AUC: 0.99
Epoch 21 | Train Loss: 0.0737 | Val Loss: 0.0861 | Val Acc: 97.88% | Sens: 0.97 | Spec: 1.00 | AUC: 0.99
Epoch 22 | Train Loss: 0.0735 | Val Loss: 0.0770 | Val Acc: 97.65% | Sens: 0.97 | Spec: 0.99 | AUC: 1.00
Epoch 23 | Train Loss: 0.0711 | Val Loss: 0.0750 | Val Acc: 97.88% | Sens: 0.98 | Spec: 0.97 | AUC: 1.00
Epoch 24 | Train Loss: 0.0902 | Val Loss: 0.0896 | Val Acc: 96.59% | Sens: 0.98 | Spec: 0.94 | AUC: 0.99
Epoch 25 | Train Loss: 0.0748 | Val Loss: 0.0877 | Val Acc: 97.53% | Sens: 0.96 | Spec: 1.00 | AUC: 1.00
Epoch 26 | Train Loss: 0.0663 | Val Loss: 0.0772 | Val Acc: 97.88% | Sens: 0.98 | Spec: 0.97 | AUC: 1.00
Epoch 27 | Train Loss: 0.0558 | Val Loss: 0.0738 | Val Acc: 98.24% | Sens: 0.97 | Spec: 1.00 | AUC: 1.00
Epoch 28 | Train Loss: 0.0576 | Val Loss: 0.0792 | Val Acc: 97.77% | Sens: 0.99 | Spec: 0.96 | AUC: 1.00
Epoch 29 | Train Loss: 0.0511 | Val Loss: 0.0719 | Val Acc: 98.24% | Sens: 0.98 | Spec: 0.99 | AUC: 1.00
Epoch 30 | Train Loss: 0.0556 | Val Loss: 0.0765 | Val Acc: 98.59% | Sens: 0.98 | Spec: 1.00 | AUC: 1.00
Epoch 31 | Train Loss: 0.0631 | Val Loss: 0.1513 | Val Acc: 95.65% | Sens: 0.93 | Spec: 1.00 | AUC: 1.00
Epoch 32 | Train Loss: 0.0586 | Val Loss: 0.0725 | Val Acc: 98.47% | Sens: 0.98 | Spec: 0.99 | AUC: 1.00
Epoch 33 | Train Loss: 0.0378 | Val Loss: 0.0864 | Val Acc: 98.35% | Sens: 0.97 | Spec: 1.00 | AUC: 1.00
Epoch 34 | Train Loss: 0.0423 | Val Loss: 0.0656 | Val Acc: 98.24% | Sens: 0.98 | Spec: 0.99 | AUC: 1.00
Epoch 35 | Train Loss: 0.0360 | Val Loss: 0.0740 | Val Acc: 98.71% | Sens: 0.98 | Spec: 1.00 | AUC: 1.00
Epoch 36 | Train Loss: 0.0351 | Val Loss: 0.0821 | Val Acc: 97.77% | Sens: 0.97 | Spec: 1.00 | AUC: 1.00
Epoch 37 | Train Loss: 0.0506 | Val Loss: 0.0703 | Val Acc: 98.24% | Sens: 0.98 | Spec: 0.98 | AUC: 1.00
Epoch 38 | Train Loss: 0.0583 | Val Loss: 0.1237 | Val Acc: 97.77% | Sens: 0.96 | Spec: 1.00 | AUC: 0.99
Epoch 39 | Train Loss: 0.0359 | Val Loss: 0.0740 | Val Acc: 98.35% | Sens: 0.98 | Spec: 0.99 | AUC: 1.00
Epoch 40 | Train Loss: 0.0438 | Val Loss: 0.0688 | Val Acc: 98.12% | Sens: 0.97 | Spec: 0.99 | AUC: 1.00
Epoch 41 | Train Loss: 0.0295 | Val Loss: 0.0612 | Val Acc: 98.47% | Sens: 0.98 | Spec: 0.99 | AUC: 1.00
Epoch 42 | Train Loss: 0.0179 | Val Loss: 0.0933 | Val Acc: 98.12% | Sens: 0.97 | Spec: 1.00 | AUC: 1.00
Epoch 43 | Train Loss: 0.0280 | Val Loss: 0.1033 | Val Acc: 97.88% | Sens: 0.97 | Spec: 1.00 | AUC: 1.00
Epoch 44 | Train Loss: 0.0160 | Val Loss: 0.1028 | Val Acc: 98.24% | Sens: 0.98 | Spec: 0.99 | AUC: 1.00
Epoch 45 | Train Loss: 0.0220 | Val Loss: 0.0879 | Val Acc: 98.71% | Sens: 0.98 | Spec: 1.00 | AUC: 1.00
Epoch 46 | Train Loss: 0.0346 | Val Loss: 0.0641 | Val Acc: 98.59% | Sens: 0.98 | Spec: 0.99 | AUC: 1.00
Epoch 47 | Train Loss: 0.0423 | Val Loss: 0.1055 | Val Acc: 98.12% | Sens: 0.97 | Spec: 1.00 | AUC: 1.00
Epoch 48 | Train Loss: 0.0667 | Val Loss: 0.0795 | Val Acc: 97.65% | Sens: 0.96 | Spec: 1.00 | AUC: 1.00
Epoch 49 | Train Loss: 0.0318 | Val Loss: 0.1190 | Val Acc: 97.77% | Sens: 0.96 | Spec: 1.00 | AUC: 1.00
Epoch 50 | Train Loss: 0.0409 | Val Loss: 0.1024 | Val Acc: 98.24% | Sens: 0.97 | Spec: 1.00 | AUC: 1.00
Epoch 51 | Train Loss: 0.0368 | Val Loss: 0.0596 | Val Acc: 98.59% | Sens: 0.98 | Spec: 1.00 | AUC: 1.00
Epoch 52 | Train Loss: 0.0216 | Val Loss: 0.0751 | Val Acc: 98.47% | Sens: 0.98 | Spec: 0.99 | AUC: 1.00
Epoch 53 | Train Loss: 0.0185 | Val Loss: 0.1418 | Val Acc: 97.41% | Sens: 0.96 | Spec: 1.00 | AUC: 1.00
Epoch 54 | Train Loss: 0.0144 | Val Loss: 0.1029 | Val Acc: 97.88% | Sens: 0.97 | Spec: 1.00 | AUC: 1.00
Epoch 55 | Train Loss: 0.0275 | Val Loss: 0.1289 | Val Acc: 98.24% | Sens: 0.97 | Spec: 1.00 | AUC: 1.00
Epoch 56 | Train Loss: 0.0260 | Val Loss: 0.0759 | Val Acc: 98.12% | Sens: 0.98 | Spec: 0.99 | AUC: 1.00
Epoch 57 | Train Loss: 0.0291 | Val Loss: 0.0922 | Val Acc: 98.24% | Sens: 0.98 | Spec: 0.99 | AUC: 1.00
Epoch 58 | Train Loss: 0.0363 | Val Loss: 0.1034 | Val Acc: 98.47% | Sens: 0.98 | Spec: 1.00 | AUC: 1.00
Epoch 59 | Train Loss: 0.0228 | Val Loss: 0.1394 | Val Acc: 97.77% | Sens: 0.96 | Spec: 1.00 | AUC: 1.00
Epoch 60 | Train Loss: 0.0317 | Val Loss: 0.1006 | Val Acc: 98.00% | Sens: 0.97 | Spec: 0.99 | AUC: 1.00
Epoch 61 | Train Loss: 0.0164 | Val Loss: 0.0789 | Val Acc: 98.35% | Sens: 0.98 | Spec: 0.99 | AUC: 1.00
⏹️ Early stopping after 61 epochs.

🔍 Testing on separate test set...
